Part,Color,Quantity,Is Spare
99207,71,13,False
11215,71,3,False
3005,71,4,False
6111,71,9,False
6112,71,5,False
2465,71,6,False
3622,71,9,False
3010,71,15,False
3009,71,2,False
3003,71,4,False
3001,71,4,False
2456,71,12,False
18653,71,26,False
16577,71,6,False
47457,71,2,False
20952pr0048,71,2,False
30367c,71,8,False
92947,71,34,False
3941,71,5,False
17485,71,2,False
48092,71,8,False
60476,71,4,False
60475b,71,8,False
2921,71,4,False
87087,71,2,False
11211,71,16,False
2877,71,26,False
4216,71,8,False
52107,71,6,False
22885,71,18,False
4595,71,3,False
29096,71,1,False
50990pr0002,71,1,False
4740,71,4,False
3960,71,2,False
4285b,71,7,False
30162,71,27,False
60849,71,24,False
64644,71,9,False
14682,71,1,False
30031,71,4,False
98397,71,3,False
30365,71,14,False
3938,71,2,False
6134,71,3,False
30553,71,5,False
30554b,71,14,False
44301b,71,8,False
30383,71,16,False
60471,71,4,False
92582,71,18,False
98286,71,4,False
75c16,71,1,False
75c20,71,8,False
62810,71,1,False
93059,71,1,False
30370,71,1,False
6231,71,5,False
4865b,71,10,False
87552,71,1,False
87544,71,4,False
15207,71,15,False
59349,71,3,False
91501,71,1,False
3024,71,15,False
4477,71,20,False
60479,71,4,False
3023,71,73,False
3623,71,23,False
3710,71,31,False
3666,71,60,False
3460,71,35,False
3832,71,8,False
4282,71,4,False
3022,71,17,False
2420,71,8,False
3021,71,105,False
3020,71,63,False
3795,71,49,False
3034,71,11,False
11212,71,13,False
3030,71,2,False
3029,71,8,False
3031,71,6,False
3032,71,15,False
3035,71,6,False
3033,71,1,False
3028,71,1,False
3456,71,2,False
3027,71,4,False
3958,71,3,False
3036,71,6,False
41539,71,9,False
85861,71,26,False
4032a,71,4,False
60474,71,10,False
11213,71,2,False
30565,71,32,False
61252,71,1,False
60897,71,16,False
14418,71,2,False
92280,71,18,False
15573,71,22,False
88072,71,8,False
11476,71,4,False
60470b,71,5,False
32028,71,33,False
3839b,71,2,False
4596,71,1,False
18677,71,33,False
4590,71,1,False
92593,71,14,False
4510,71,6,False
2817,71,2,False
41862,71,6,False
87580,71,12,False
99206,71,8,False
26599,71,4,False
30586,71,10,False
88646,71,37,False
6180,71,30,False
6178,71,2,False
6179,71,62,False
4697b,71,6,False
61409,71,36,False
60477,71,2,False
54200,71,46,False
85984,71,20,False
4286,71,15,False
15672,71,12,False
3040b,71,24,False
3045,71,10,False
3038,71,12,False
3037,71,4,False
4445,71,6,False
60481,71,16,False
4460b,71,4,False
88930,71,2,False
88930pr0013,71,2,False
24201,71,9,False
11477,71,16,False
15068,71,5,False
50950,71,5,False
24309,71,66,False
11153,71,12,False
3665,71,4,False
16091,71,3,False
4599b,71,29,False
4519,71,11,False
32073,71,4,False
44294,71,7,False
32039,71,6,False
32014,71,10,False
63869,71,1,False
41239,71,4,False
32316,71,4,False
40490,71,4,False
32526,71,12,False
14720,71,4,False
3895,71,16,False
3700,71,16,False
32000,71,4,False
3701,71,22,False
3702,71,18,False
32324,71,4,False
32123b,71,50,False
2723,71,2,False
32187,71,2,False
3743,71,5,False
15379,71,4,False
4274,71,30,False
61184,71,2,False
22961,71,5,False
62462,71,35,False
32054,71,75,False
3673,71,2,False
3709,71,31,False
24246,71,6,False
3070b,71,53,False
3069b,71,69,False
3069bpr0086,71,4,False
63864,71,31,False
2431,71,47,False
6636,71,27,False
4162,71,21,False
14719,71,15,False
3068b,71,39,False
87079,71,22,False
27507,71,32,False
98138,71,30,False
14769,71,2,False
14769pr0004,71,3,False
15535,71,2,False
15712,71,15,False
2412b,71,20,False
2432,71,2,False
99563,71,70,False
27263,71,13,False
11203,71,10,False
2460,71,5,False
973c14h02pr3145,71,1,False
3679,71,1,False
61485,71,1,False
86208,71,1,False
64567,71,1,False
47397,71,2,False
47398,71,2,False
51739,71,4,False
43723,71,38,False
43722,71,31,False
2450,71,5,False
41770,71,16,False
41769,71,22,False
30503,71,9,False
43719,71,2,False
32059,71,3,False
30355,71,13,False
30356,71,10,False
54384,71,40,False
54383,71,40,False
6106,71,15,False
50305,71,1,False
50304,71,1,False
43710,71,1,False
43711,71,1,False
48933,71,2,False
13971,71,5,False
60208,71,1,False
3626cpr2307,78,1,False
3626cpr2290,78,1,False
3626cpr2308,78,1,False
3626cpr1778,78,1,False
60483,322,6,False
3003,73,1,False
3005,84,15,False
3040b,84,6,False
973c23h19pr3174,84,1,False
63864,326,4,False
96874,25,1,False
3022,25,4,False
3020,25,2,False
6141,25,2,False
970c00pr0693,297,1,False
30480pr0001,297,1,False
973c21h21pr3258,297,1,False
3010,4,2,False
3001,4,4,False
52107,4,2,False
60479,4,4,False
4032a,4,2,False
11458,4,8,False
92593,4,8,False
3039,4,2,False
32062,4,11,False
32039,4,8,False
32523,4,26,False
32524,4,4,False
3894,4,4,False
3702,4,2,False
62462,4,6,False
32054,4,20,False
13564,70,1,False
26139,70,1,False
3626cpr1807,70,1,False
3460,70,8,False
3832,70,10,False
2445,70,1,False
3022,70,23,False
4287b,70,1,False
3701,70,23,False
20482,70,1,False
15712,70,2,False
3622,19,9,False
3010,19,2,False
3009,19,5,False
2357,19,4,False
10314,19,3,False
30136,19,7,False
30414,19,9,False
6232,19,16,False
4477,19,4,False
3460,19,57,False
91988,19,4,False
4282,19,4,False
3021,19,67,False
3795,19,4,False
3031,19,1,False
3032,19,17,False
3035,19,1,False
6141,19,1,False
2654,19,12,False
49668,19,2,False
48336,19,12,False
99206,19,8,False
60477,19,2,False
85984,19,29,False
4460b,19,1,False
3660,19,4,False
3749,19,6,False
32000,19,5,False
32002,19,3,False
3069b,19,19,False
3068b,19,6,False
29096pr0001,47,1,False
44375bpr0003,47,1,False
18675pr0012,47,2,False
3023,47,2,False
3024,34,2,False
6141,34,2,False
78c26,41,6,False
98585,41,1,False
6141,36,3,False
98138,36,2,False
3005,15,1,False
3009,15,3,False
20952pr0001,15,1,False
20953pr0001,15,1,False
11211,15,1,False
30541,15,8,False
60471,15,1,False
970c00pr1324,15,1,False
30166,15,8,False
3024,15,2,False
3710,15,4,False
3021,15,1,False
3034,15,2,False
11212,15,16,False
3035,15,1,False
3794b,15,1,False
60470b,15,8,False
4510,15,1,False
10247,15,22,False
3040b,15,1,False
15068,15,2,False
32013,15,6,False
32348,15,2,False
3700,15,4,False
3738,15,4,False
3070b,15,1,False
63864,15,1,False
4162,15,1,False
2432,15,1,False
973c27h27pr3913,15,1,False
2450,15,4,False
30503,15,2,False
73983,14,2,False
3710,14,6,False
3022,14,4,False
3034,14,4,False
4032a,14,2,False
63868,14,9,False
32028,14,6,False
3660,14,1,False
4519,14,28,False
59443,14,4,False
32449,14,8,False
32524,14,1,False
60484,14,2,False
32123b,14,4,False
34499,9999,1,False
